Feature,Cternatea_20692_DDA_neg_5142025_053,Cternatea_20692_DDA_neg_5142025_054,Cternatea_20692_DDA_neg_5142025_055,Cternatea_9336_DDA_neg_5142025_056,Cternatea_9336_DDA_neg_5142025_057,Cternatea_9336_DDA_neg_5142025_058,Instrument_blank_DDA_neg_5142025_060,Cternatea_QC_DDA_neg_5142025_048,Cternatea_QC_DDA_neg_5142025_049,Cternatea_QC_DDA_neg_5142025_050,Cternatea_QC_DDA_neg_5142025_051,Cternatea_QC_DDA_neg_5142025_052,Cternatea_QC_DDA_neg_5142025_059,Extraction_blank_DDA_neg_5142025_047,Instrument_blank_DDA_neg_5142025_046
95.02460@0.547,10889,11128,10764,13042,14015,12546,0,11487,10743,11182,11822,12021,12093,0,0
96.04500@0.605,28272,29079,29366,25072,23974,23298,0,25995,25740,27570,27598,26073,29506,0,0
96.95960@14.083,98512,42894,16130,46260,54434,86581,98672,133987,125596,50484,68762,53049,100705,111856,15079
96.96930@0.585,148308,105817,155608,209866,207370,165405,2725,104169,98232,147695,98154,190830,100906,329796,6039
99.04440@1.221,12656,12341,12282,13745,12869,13727,0,14965,14315,13920,15022,14791,15018,0,0
99.04460@2.639,3323,2778,3360,2710,1961,2443,0,3937,3230,3255,2992,3024,2620,0,0
101.02390@0.563,22041,22417,22963,25791,25002,24843,1399,23532,23960,21976,22518,23330,23422,928,1546
101.02400@0.788,68747,47518,24505,96335,120864,106899,1724,166748,142522,179347,25411,48871,87653,257,856
102.05540@0.568,3416,3742,3539,4067,4290,3924,0,4230,3921,3620,3973,3643,3778,0,0
103.00310@1.370,55296,55300,56614,43365,43803,42021,0,63413,57415,58729,58360,56940,58623,0,0
103.00320@0.694,313258,343662,322188,390532,397257,399124,0,391480,351818,384115,386539,392853,404088,210,121
104.03500@0.532,23460,24708,25683,22842,21831,22010,0,22685,22012,23071,23202,23243,22359,224,0
105.01890@0.643,113022,115298,122896,145907,146744,137189,831,127584,130680,136842,135948,136020,142374,390,211
108.02110@3.444,5700,6170,5502,3110,2879,3160,0,4238,4363,3882,4472,4949,5076,0,0
109.02890@3.443,12615,12496,12126,6905,6923,7744,0,9687,9325,10324,9474,10362,10417,0,0
109.02890@3.566,9569,9487,9652,7115,7344,7647,0,8414,7531,7689,8125,8293,8045,8989,0
111.00820@1.192,26257,27509,27893,12932,26318,24334,0,27843,11777,29959,27782,26546,29906,0,111
111.00820@0.831,290713,301197,296609,294737,285350,278454,0,316251,302303,316051,315403,313244,314220,0,178
111.04480@2.572,4069,3240,3537,3306,2955,2758,0,3790,3498,3723,3574,3751,3666,0,0
112.98490@13.626,20196,34438,32005,21339,22859,28106,20562,27691,20893,23785,23339,24648,22674,40286,28067
112.98520@0.501,3812,3347,3941,5579,4858,4650,43399,5729,4827,5376,5017,5195,5432,114776,36545
113.02390@0.767,118636,109933,102669,175231,117072,147833,2299,137235,156668,153107,150408,138920,162215,107,621
113.03530@0.547,128903,132410,132734,150228,151274,145224,0,141381,136060,143364,138740,141447,139103,1233,0
113.06030@3.117,25743,26591,26786,28147,28412,28795,0,27132,26270,28928,27206,27867,28573,0,0
114.01910@0.547,45710,47869,45695,55098,56063,54427,162,49243,48747,47514,52026,50302,50856,0,0
115.00310@1.248,190829,200346,191701,207939,204669,197944,78,227750,223180,214991,218354,218424,211173,296,158
115.00320@0.571,5293,5107,5414,6027,6360,6607,0,6064,4944,5565,5699,5445,5288,94,283
115.00320@0.711,236156,237061,236247,234551,246551,227386,125,249164,222616,229906,238993,233810,234496,343,258
117.01880@0.790,130065,133779,129587,84805,86070,159914,518,160849,148103,154497,154298,149754,152953,180,1348
117.01890@0.971,330612,335453,337503,358982,359370,360852,114,374635,367864,373533,372717,370053,350869,4476,1370
118.05050@0.539,18476,18862,18934,15768,15300,15731,0,16331,17702,16594,17628,16884,17742,0,0
119.03430@0.919,39898,70428,100252,113026,209387,158668,1457,59772,36165,61333,56457,50363,205785,148,258
119.03450@0.753,187598,145006,182471,207962,228548,199094,1723,182293,119756,190319,208989,203113,165396,3015,228
119.03450@0.555,41182,41588,42563,50059,52482,47914,2527,43173,41139,42419,46894,44743,45959,1724,303
119.04990@3.434,15051,15491,14348,8805,9515,8345,0,12565,11756,12358,12356,12603,12350,0,0
120.99600@8.160,4610,5325,4984,3793,3750,3881,117,5029,5092,4365,4863,4609,4513,7494,265
122.02440@0.915,11531,12044,9313,10312,8402,9504,152,10588,10831,12741,11736,10763,8633,0,301
122.02450@1.237,5078,6019,8706,12002,11060,10465,80,12007,11864,8130,6089,6694,11429,0,142
127.00280@2.506,768,556,6227,6981,7571,7598,0,691,986,1219,1576,1510,8147,0,0
127.05060@0.550,7068,7333,7256,7088,6163,5923,0,7016,6722,6506,6459,6552,6689,0,0
127.07580@3.896,31176,31747,31191,34195,34675,34660,483,36246,35881,34220,36027,34137,35554,1300,0
128.03470@1.004,386137,420644,426163,282559,283479,276261,610,368819,360655,366168,368724,347935,347470,13311,1150
128.03500@0.571,23097,24813,23694,25477,26147,24128,763,21722,21113,23856,24533,24042,24409,266,566
129.01860@1.195,79683,82093,78325,77577,74627,72232,1457,81806,85418,86231,88012,86255,85838,3033,2472
129.01860@3.169,15502,14232,15351,14245,14782,13172,1264,17837,17075,16570,15029,17855,15501,656,1198
129.01880@0.836,53821,37971,51081,60229,56868,51736,1627,57142,50800,60636,52916,63944,60889,1497,3471
129.01890@0.584,49433,53980,54805,51968,59131,50642,916,49040,41269,51362,55937,48098,52841,1127,2983
129.05510@2.321,22749,22387,21893,23796,24813,23526,0,28916,26724,26161,26064,24179,24537,100,1260
130.05030@0.986,24666,21744,20663,15535,13752,18237,0,24126,23206,22152,23835,18737,18577,0,357
130.08670@3.476,5793,6242,9351,6608,6772,6790,0,5694,5580,7905,5744,6725,8274,0,0
130.08710@0.766,37910,43715,41394,23677,22633,23809,0,36735,31418,35858,36981,30107,32412,0,0
130.96560@13.666,7203,6916,8091,6566,6488,7590,8441,6653,5928,6883,6952,7530,7769,6356,6719
130.96580@0.495,12065,12146,14013,14132,14536,14075,4370,14156,13913,14434,14070,13520,14651,24088,1698
131.03450@1.672,151539,136690,153219,113743,118206,105076,2539,134015,122920,134606,136704,130913,143181,2377,2020
131.04560@0.901,56368,61660,64445,46650,64245,62775,0,51530,53331,57249,59751,48010,59059,151,0
131.04570@0.781,56351,61069,60862,59439,50130,60434,0,54845,60823,58408,54642,59967,55709,0,0
131.04600@0.548,845435,865256,860850,961324,964998,945099,0,920983,904291,905303,917043,914750,907660,9851,0
131.07130@4.339,8137,8288,8134,4000,4736,4474,0,7966,7542,7238,7667,7458,7345,0,0
131.13090@0.547,2755,2683,2804,4384,4470,4420,0,3204,3226,2900,3478,3290,3892,0,0
132.03000@0.571,134221,136341,139128,173738,165625,167730,0,156438,148960,153425,147463,149935,147818,1007,0
133.01370@0.966,496286,502520,463148,507764,528202,513889,162,547719,541308,546498,557026,551838,542846,859,1266
133.01400@0.709,1287429,1302363,1303544,1270518,1267012,1253552,295,1334180,1288756,1307575,1298914,1282598,1283231,16190,2373
133.01430@2.299,16776,14023,19236,19212,17785,19907,685,17311,17360,16833,17855,18639,20945,130,235
133.05040@0.547,7086,7384,7732,8743,9124,8597,106,8715,8334,7437,8732,8000,7959,0,0
133.10000@0.721,8821,9469,9139,8347,8580,8401,0,10257,9216,9316,8942,8922,9024,0,0
134.03710@3.729,2484,2642,2874,1977,2108,2287,0,2575,2845,2857,2713,2650,2581,0,0
134.04650@2.710,3972,3790,3740,3971,3637,3217,0,4183,4461,3621,4006,4085,4101,93,0
134.04660@2.519,36024,35465,36389,35004,34684,33710,106,38573,37225,38887,39556,37313,34758,0,0
134.04710@1.498,11851,11774,9622,10699,10994,10832,0,12351,13137,7324,5855,12387,11724,0,0
135.02960@0.630,949290,940231,943679,1105629,1147886,1064151,0,1091430,1067496,1075575,1067210,1062510,1066748,0,123
135.04480@3.463,5616,5506,5100,9184,8630,9833,0,8318,7670,7649,7621,8401,7591,0,0
137.02380@3.104,50274,53072,52996,68579,68431,70539,423,59625,58581,62617,59690,62434,69368,543,1212
137.02380@2.756,22797,24393,23526,24159,23636,22169,325,24536,25159,24291,25011,23934,25045,466,1501
137.02390@4.578,45008,47780,48222,49880,43809,49439,774,47281,47882,46114,46669,46866,52416,2432,1128
137.02410@3.464,7023,7016,7025,12612,11884,12676,282,10148,11054,10804,11573,9746,10932,1112,327
137.02430@3.957,3284,4233,4139,4527,5039,4750,265,4892,5807,5429,4799,5398,4831,295,2670
138.01920@2.540,6550,6520,6249,6483,5793,6026,0,7572,7117,7233,6950,6228,8149,0,0
138.05530@0.911,44633,47141,38307,43642,44491,43681,0,42337,41237,40386,43281,36276,42223,0,0
138.98730@11.387,6206,6864,6628,7879,6916,5996,0,7162,6981,5981,6610,6485,7275,6046,130
142.01410@0.608,24192,24357,24397,21894,22361,19806,0,23198,22638,24072,23829,21969,24086,0,0
142.05060@0.972,51599,51393,52765,36473,37149,36132,0,49340,46271,46450,47741,46584,45506,0,109
142.05060@1.637,36654,37971,37811,23853,24429,23024,0,35236,31522,33295,33029,33047,32816,0,140
142.99830@0.761,68197,68956,44766,60003,62772,63233,0,65889,65050,66916,43291,68485,65526,0,0
143.03430@2.402,27560,34322,29220,28903,42365,33399,2470,37614,32411,42945,40082,28662,43644,972,2744
143.03440@0.764,130826,152594,140836,54883,167185,170976,1732,136102,115677,77259,128957,127926,132316,1131,1084
143.03440@0.558,28975,29776,30077,34001,35477,36735,2617,29598,30784,32687,29435,33144,33278,1542,1410
143.03460@1.220,106235,109805,96116,94566,94017,103891,1389,28023,90777,116951,106885,111160,107896,1365,1526
144.04500@3.701,19801,18557,18879,13762,13951,12724,0,16680,17416,18451,17950,18209,17444,0,0
144.06610@1.993,12311,13540,14085,4974,11100,7075,0,14072,7363,15483,15974,13616,13277,0,112
144.06610@2.369,7271,7312,6943,6964,7144,6668,0,8489,7936,7671,7736,8798,7653,0,0
145.01380@0.769,31406,31356,33739,29661,32615,31189,0,35747,33953,36619,34561,34830,34550,0,134
145.01400@0.994,39205,44218,42134,48867,40707,43880,0,46785,45421,44486,22093,43514,45126,0,162
145.05020@2.764,14803,16982,15810,17789,17014,17588,2600,20637,22310,21536,21620,18583,17223,8177,821
145.06140@0.553,95913,98290,96583,89373,88156,88022,0,91917,90729,93591,91875,91991,89586,300,247
145.08650@5.057,14353,15182,14822,13931,13162,13047,0,17409,15931,15728,16179,15558,15983,0,0
146.04560@0.568,88391,87849,88723,99383,100990,101763,0,94784,90857,93666,91937,92948,90426,1442,0
147.02930@0.905,86471,83658,77576,92510,80454,85828,906,111657,90346,91910,89229,92557,84692,1573,1754
147.06580@1.174,50411,24461,50267,14319,15476,11685,0,46849,29270,27093,20774,21297,16792,159,0
149.04510@0.645,389149,416976,423165,224418,228027,224702,548,322739,302123,310590,310134,325568,303355,4335,542
149.04510@0.779,214741,518752,519518,326275,298547,263203,504,413993,320416,323714,413006,331713,296052,0,0
150.04210@2.490,3034,2881,4270,3496,3016,3391,0,3847,3487,3356,3585,3687,3190,0,0
150.04230@1.432,13458,14975,13959,13310,14087,14828,0,15319,14245,14801,14130,14589,16748,0,0
151.02550@2.384,9507,9758,9437,8228,8425,7709,0,10507,9437,9703,8938,10291,9701,0,0
152.01090@2.782,2908,2896,2818,2162,2280,2153,0,3386,3204,2727,2724,2844,2433,0,0
152.01140@3.448,9567,9990,9654,7504,7673,7753,0,7347,7458,7344,6676,7236,8966,0,0
152.98790@0.624,7911,8743,8119,4730,7144,4883,0,8492,8760,7727,4354,8077,7492,4612,0
152.99500@8.271,2923,3642,3544,3130,3508,3698,0,4814,3547,4057,4157,3987,4012,0,0
153.01890@3.766,80188,90251,83263,65374,66392,64742,3157,82699,82104,81725,81637,77624,78453,3382,302
153.01890@2.526,38918,37040,36717,21317,20859,20811,1385,34848,33165,34903,32188,31873,26672,1053,160
153.01890@2.952,28703,29654,27497,21298,22170,20793,1946,22584,21388,25189,21744,20868,21867,1673,130
153.01900@2.748,20896,12700,21427,17904,18088,17123,1350,19189,21931,18551,21348,13769,19086,2010,105
153.01900@3.443,336159,341275,342799,214545,216977,217226,2280,306036,295619,300076,298710,294037,293090,4589,0
153.01900@3.566,318501,326546,320961,272055,267248,266853,1092,330127,321958,316415,312694,315088,298250,358994,104
153.09160@5.498,2457,2350,2813,3122,2908,2603,0,2835,3018,2933,2517,2831,2741,0,0
154.06180@0.539,12424,12593,12341,15279,13813,14394,0,13609,13776,13063,12986,13253,12562,0,0
154.99800@2.444,150326,148102,144822,184118,185434,179811,0,202417,184970,186527,187942,185551,169576,0,0
156.06590@2.553,22919,23152,23572,37384,35533,37235,0,34816,33070,32661,33327,34647,31136,0,0
156.96300@0.664,3624,3391,3496,5326,4790,4808,0,7254,6433,6796,6269,6447,7920,39866,0
157.05030@3.117,193062,202701,202620,215764,207294,204248,0,227613,219430,219978,222406,221766,223582,227,189
158.04550@0.605,81324,83532,84315,74718,77271,75255,0,82605,76649,77427,82236,80240,82658,0,0
158.08150@3.311,8799,9342,8681,9846,9710,9316,0,11842,10019,10395,10680,9954,9476,111,0
158.08180@2.566,40040,41755,44378,34836,34601,35566,0,46345,42841,43839,43913,43514,43486,0,149
159.02940@0.579,15317,15403,12711,14868,14486,15669,804,14948,13742,16988,14886,14816,16945,134,965
159.06570@3.538,17814,17982,17934,14346,15363,15293,1747,17642,19412,19678,19638,16845,15687,5539,140
160.02460@1.706,5771,6101,2928,2867,6077,5898,0,6188,6730,2710,6965,2748,5432,0,0
160.06110@1.022,33886,35219,34361,20896,21083,13336,0,30914,29186,27888,28549,27609,28381,0,0
160.93500@10.091,8971,18667,9881,8561,16616,19279,12248,4382,24181,27423,8040,12408,13880,85,2149
160.93530@9.863,13648,18237,18296,18850,19437,18766,8992,6868,8680,15991,17198,13668,12734,0,3513
161.04480@5.872,49896,42091,138385,154419,151403,112221,14578,213983,185705,72346,96549,223216,168159,6227,3810
161.04480@4.430,90877,86027,83302,101538,109699,101370,20759,101311,120482,120461,112310,102384,102131,3673,6137
161.04500@1.219,1030467,918158,865853,1086932,1169485,1095970,11636,1051281,1315277,1076702,1307306,1283113,1172377,5959,9791
161.04510@4.268,161084,155146,153897,161081,68296,163150,22654,75403,198927,121478,192142,118889,182131,4390,4390
161.04510@0.794,375462,364957,437213,138557,558906,433525,23739,537287,515396,583016,421105,480493,416949,11803,13684
161.04520@0.556,62479,64211,64606,74051,72714,71575,11887,74897,69950,71306,70439,65778,69442,9675,13964
163.02440@0.774,95833,95469,99727,93853,91991,93401,173,96658,96142,98450,105295,93330,91542,0,0
163.02450@0.575,18222,20881,19768,27753,29181,30912,0,26414,23457,25004,24181,24471,24874,0,0
163.03940@3.434,70780,70775,73137,47721,47250,46595,0,63138,62031,62363,65261,62717,62086,0,110
163.03960@4.514,12267,12565,13691,6164,5829,6002,0,10595,9463,9623,8572,8710,10679,0,0
163.03960@3.555,12996,11974,12439,15919,15997,18064,0,15377,15464,15204,15691,15270,15824,0,110
164.03830@0.565,7088,7240,6855,9616,8394,8243,0,8000,7928,6439,7676,7672,8780,0,0
164.05740@2.210,14328,13554,15279,10607,11887,11083,0,15082,13776,14012,14218,13108,12975,0,0
164.07120@3.945,2854,2735,3071,2705,2842,2616,0,3080,3272,2967,3292,3363,2917,0,0
164.07120@1.197,12309,11677,11838,11007,11159,11467,0,12718,12711,12789,12496,12156,13113,0,0
165.01870@3.264,17619,13888,18042,13626,13034,12782,1379,20575,16636,18566,16932,17593,19157,4087,137
165.01880@2.353,8947,8700,8575,8429,8013,8413,0,9925,9458,8688,9495,9205,8820,146,170
165.04010@0.571,271268,270313,275950,281577,277962,273767,0,293788,277608,279042,282275,279070,271388,423,0
165.97860@5.464,4136,4263,4524,5057,4169,4694,7132,4791,4099,3569,4241,3707,3766,6817,0
166.99860@2.474,7012,7497,7859,3588,3665,4209,0,3694,3610,4404,5152,4747,5938,0,0
167.03430@3.131,10694,11694,10697,10758,11064,10139,0,12321,11964,11372,11796,11933,11043,0,0
167.03470@4.574,1509,787,1118,567,1169,469,0,1687,1099,1476,684,1338,601,2625,0
167.03580@2.093,15925,10715,6627,5601,10222,10562,0,6083,11404,11223,6077,9476,18040,0,115
168.04130@2.731,3068,3110,3319,2551,2405,2711,0,3067,2686,2889,3138,3082,2870,0,0
169.01320@2.805,5613,6293,5546,4809,4567,5394,0,7007,5812,5898,6002,5838,6653,0,0
169.01360@3.455,13337,14143,15592,8412,8943,8688,0,5507,6229,7609,8929,9064,14518,0,0
169.01380@2.305,9032,9365,9132,7209,6620,7400,0,9427,9197,9201,8229,9260,8252,0,0
169.01380@3.578,83038,91429,96304,78545,80992,79225,0,45177,50040,33848,56866,72102,103737,19898,0
169.01380@2.461,112976,111179,111182,55496,55024,52932,0,116969,107702,103920,101456,97195,82649,543,0
169.12260@6.245,13982,13250,12420,11824,11625,11173,0,14041,14570,14324,13364,13941,12770,23333,0
171.02970@0.957,24191,26028,24813,32843,32549,30873,0,31133,30779,30265,28922,28946,27980,0,149
171.06560@4.123,5287,5422,5281,3322,4088,3859,243,6313,5451,5605,4804,6215,4645,540,681
171.06570@3.894,113259,103453,109764,119019,118961,116603,12024,136396,130006,129930,128088,128232,119357,18298,1125
171.06580@4.238,1652,1844,1724,2762,2723,2521,111,3365,3259,3029,3285,3007,2818,130,16700
172.02470@2.666,5248,5583,5352,6062,6441,5776,0,7042,6657,6882,6774,6531,5790,0,0
172.09750@3.417,46921,49394,50411,31276,32836,34283,0,46878,44807,45417,44760,44523,44878,0,0
173.00870@0.882,366894,375625,371624,277677,357237,349518,0,416345,389720,387120,382762,378716,358910,168,0
173.00870@1.201,211599,218823,214157,195072,195547,193571,0,255488,237262,235872,235914,231644,225502,0,0
173.04520@0.793,120156,114603,115631,154862,161944,159131,388,154885,147157,148799,138573,144830,134322,130,214
173.05610@0.563,17514,19109,16216,19321,20279,19515,0,21838,20617,19984,18646,20361,19647,126,0
173.08120@4.227,21654,22869,22085,21677,22212,22292,20783,24290,23851,22778,23772,24329,24133,26011,1046
173.08150@4.339,8408,7766,7923,4644,4632,3807,750,7769,6948,7250,6389,7094,7114,2472,868
174.04040@0.992,26891,24499,25989,26323,13870,20473,0,26703,26983,25019,26687,26712,23675,0,0
174.04090@0.572,8110,7570,8349,10946,11009,8683,0,10759,9669,10351,9590,10116,9316,0,0
174.07650@1.524,25218,26609,24019,21461,20112,19836,0,26808,25393,24902,24909,25321,25877,0,0
175.02400@1.803,42785,55299,57647,55478,69961,56704,0,62894,71036,71851,52303,53762,63549,107,121
175.02410@3.090,16804,18605,18109,17359,13923,15292,0,20207,17857,19165,18466,18248,18621,0,0
175.02450@0.778,136307,184377,136697,181807,172597,241923,146,165739,160215,165426,177301,169075,164671,121,151
175.06050@2.358,8393,9187,8758,7272,7404,6548,0,9888,9242,8783,9568,8473,8377,0,0
175.06070@2.649,105457,105073,105919,69529,67463,70543,0,103076,99540,99680,101642,99613,99077,0,142
175.06070@1.505,13646,14379,14178,8047,3534,7563,0,12591,12631,12425,13065,12664,12835,0,0
176.03440@2.333,4727,4367,4972,6248,5731,5968,0,6438,6509,6759,6284,6242,6472,0,115
177.00370@0.651,16884,17835,16271,20085,21357,19059,0,21695,9277,19973,20149,19424,19818,0,0
178.02580@3.727,3145,3106,3403,2263,2255,2095,0,2986,2801,2545,2598,3058,2748,0,0
178.08690@2.634,2857,2594,2540,2167,2422,2418,7470,2074,1834,2119,2023,2248,1703,6795,0
179.05540@4.430,287320,281951,275479,343878,367728,351318,36127,290985,348858,378568,351819,346230,353117,5501,3888
179.05540@5.838,652605,619155,349106,509977,509594,392571,56391,701780,747261,376232,867135,1050875,1025189,3043,2428
179.05540@6.179,272026,240664,233129,269323,288921,276609,45337,270112,312268,319542,308214,310368,299933,5220,1543
179.05540@5.221,229909,201690,201941,238771,227364,223899,59536,255815,294523,285185,205911,257593,206261,5565,2318
179.05550@4.278,236650,528712,503314,570170,578170,590118,57429,534414,592480,643254,642095,622330,634367,4591,3661
179.05550@6.361,141921,101188,129580,292900,175670,155609,68174,69494,276927,403175,351521,365795,369283,7121,3571
179.05560@3.966,227060,149269,787564,867055,261478,263595,32132,831316,895452,844198,872871,511877,934409,2832,4457
179.05560@2.714,376870,419863,419059,273551,276066,522240,48517,343782,404893,773729,790869,411067,546592,2588,3039
179.05570@3.027,554057,570391,558692,634061,553401,553870,42893,639655,587570,667437,731225,693799,630678,2969,3798
179.05570@2.080,3033175,847703,1434916,1363675,578289,446531,48810,520453,1253278,1173726,945291,1979739,1835434,2799,4626
179.05570@2.843,366900,329182,464600,729522,902419,767531,37376,284651,363333,388259,390987,453429,546592,3273,4843
179.05590@1.062,4204443,1209753,4090344,3682934,3016528,1325572,65856,4107917,828995,747806,1686936,1886253,3606068,2220,3306
179.05600@0.763,4748462,4540321,5313301,3655382,3738387,3635272,62932,4947084,4953259,4561088,3445202,3473287,5342869,5215,3027
179.05610@0.557,884165,815497,832898,974703,898291,886046,47021,849126,891595,908666,904942,924313,865454,65084,4209
179.11020@0.740,6812,9246,51052,16793,20957,13898,0,40642,40543,42259,9704,47851,20857,0,0
180.05900@4.428,19875,19678,19801,25905,23838,25862,2592,20611,26509,26718,24044,23942,24594,0,0
180.05900@4.263,7832,23100,23747,37153,22019,25677,1485,38291,28679,23577,17690,44086,20604,0,0
180.05910@2.744,25933,26676,20318,52397,33530,33022,1918,22016,50529,33795,55618,25037,19382,0,135
180.93020@0.528,2662,3646,2924,3352,2996,2744,0,3623,3457,3945,3203,3634,2733,0,0
180.97240@0.517,1725,1734,1556,191,1608,923,5474,1168,1101,1412,1363,68,1163,33105,3400
181.06020@0.557,14754,14459,14611,13876,18072,18933,535,16890,16239,16116,14482,14311,15515,17613,137
182.04540@0.912,81855,82858,86260,78324,82670,74910,0,81277,76819,77117,77930,75978,76964,0,0
183.01150@8.701,6300,6507,5977,3953,5763,6340,5015,7588,6948,6331,6114,6391,6557,8897,5918
183.01220@8.322,5483,6389,6241,4301,6600,5849,5405,8028,7528,7341,7811,6352,6516,8942,6734
184.06110@2.889,15795,14454,16361,12392,11791,12002,0,15972,15744,15866,15462,15787,17123,0,0
185.00840@0.951,12849,13278,7626,13872,13375,8649,0,10409,13802,14719,9551,13805,6793,0,0
186.04050@0.980,27010,26859,27234,24542,20891,19196,0,28103,23938,27743,28514,26749,23123,0,0
186.11270@4.234,1490,1565,1601,1853,1595,1810,1744,1390,1700,1249,1526,1771,1831,3471,0
187.02390@1.069,31305,33334,31743,7111,9161,12259,0,25399,24032,22780,25378,23594,23317,0,0
187.02410@2.408,14055,14260,14931,16676,17141,16892,78,16522,16649,17099,16399,16234,17955,0,0
187.02420@2.769,24938,25975,24648,28942,27684,26803,0,30763,29607,29756,29330,28909,29746,0,0
187.02460@1.905,10809,10962,12398,13545,14564,6817,0,9799,10661,5599,11166,12940,16537,0,0
187.06070@2.989,19322,19884,19074,10052,9681,10036,0,17321,16437,16450,16770,16218,15585,247,105
187.09710@4.859,74228,75582,76717,75169,75640,76698,123180,83930,82883,83437,80744,80857,80457,149087,13288
187.09720@5.052,29696,31618,36284,29550,31436,28439,11977,35060,33951,32407,31832,31756,33062,5662,135935
187.99650@0.516,5200,5131,5322,4514,4797,4708,0,4911,4196,5074,4830,4994,5066,0,0
188.03480@3.700,92099,92075,91927,65792,66081,63355,0,91283,88782,88644,86942,84870,83425,0,0
188.05590@1.245,27228,26217,26754,31027,31346,29833,0,33983,32346,31334,32759,30236,31970,0,0
188.09270@2.550,2855,2616,2990,2548,2308,2381,0,3065,3032,2882,2685,2466,2807,0,0
189.00340@0.708,12642,10908,4942,2679,5942,13108,0,7128,12940,13042,13034,8517,7880,0,0
189.06630@3.791,8339,8754,8755,7737,7539,7280,0,8794,7860,8395,8587,8421,7520,16841,141
189.07600@2.819,10920,10721,10329,7894,7862,7773,0,10901,10253,10020,10048,10349,8569,0,0
189.07610@3.564,15146,15250,15346,12067,11695,11157,0,16420,17247,16730,16972,16348,14611,0,0
189.07630@2.987,10179,10229,10704,6011,6264,6013,0,9528,9311,10072,9674,8799,10017,0,0
189.07640@3.176,3195,3624,3740,2684,2252,2185,0,4016,3176,3330,3406,2527,2655,0,0
189.07640@2.680,24294,24662,24319,15789,15933,15080,0,24218,24233,24628,23801,24171,23918,0,0
190.03510@1.060,76683,80474,80495,104409,104093,106923,0,107873,99756,99617,95692,99093,95749,0,0
190.05070@2.675,1054,1095,1427,3606,3831,3590,0,3273,2962,3112,3282,3209,2588,0,0
190.92780@13.695,44969,71180,58759,54957,57277,77725,53709,88749,73574,70568,90503,59918,47298,135997,168583
190.92820@0.423,11398,15067,13647,13271,13856,6715,16512,26820,24481,14723,14062,19908,15449,23184,110127
191.02000@0.835,2030764,2049425,2095655,2027487,1985388,1964520,104,2182105,2134476,2141495,2133669,2157922,2094704,3851,840
191.05620@0.629,2339855,2382970,2348231,3233184,3231233,3166518,7129,2941777,2899723,2931698,2926293,2884272,2904449,4578,0
191.10850@0.847,6892,3711,1838,191,403,693,0,188,5733,9137,3755,5568,5803,0,0
191.12640@0.630,22046,23497,22474,56204,55745,56204,0,32942,29905,31588,35025,40403,43437,0,0
191.98420@0.633,7343,6757,7255,11211,11159,11657,0,9427,8830,8921,9076,10068,9247,0,0
192.18650@0.628,5220,5524,5223,8133,8411,8088,0,7610,6939,6984,7384,7049,7336,0,0
192.27680@0.633,3552,4005,3889,7353,5639,7351,0,5188,5293,5139,6053,6237,5860,0,0
193.01360@4.122,15447,15853,17035,7074,6784,6534,0,13020,11654,11985,12458,13797,9428,104,119
