Feature,Cternatea_20692_DDA_pos_5142025_038,Cternatea_20692_DDA_pos_5142025_039,Cternatea_20692_DDA_pos_5142025_040,Cternatea_9336_DDA_pos_5142025_041,Cternatea_9336_DDA_pos_5142025_042,Cternatea_9336_DDA_pos_5142025_043,Cternatea_QC_DDA_pos_5142025_035,Cternatea_QC_DDA_pos_5142025_036,Cternatea_QC_DDA_pos_5142025_037,Extraction_blank_DDA_pos_5142025_032,Instrument_blank_DDA_pos_5142025_031,Instrument_blank_DDA_pos_5142025_045
139.03850@3.102,42581,42059,42590,36877,37627,38352,44874,41413,45839,0,0,0
140.03320@2.508,3083,3467,2781,3154,3009,3088,3459,3286,2837,0,0,0
140.06960@2.559,2519,2695,2745,4069,4988,4141,3325,3208,329,0,0,0
141.01780@1.244,35555,37709,36648,38594,37422,36706,42782,38426,38464,0,0,0
141.01800@0.699,35656,45214,39907,92508,49995,55048,42745,52047,54656,0,0,0
141.05420@0.656,13584,14245,15589,13738,17442,15525,15540,14061,17176,0,100,0
141.95770@13.691,15951,19444,18966,17358,15897,19848,23010,16875,17716,43556,73225,14345
142.09730@0.466,4367,5682,6601,4288,4880,5337,4785,4848,5653,0,0,0
143.99630@0.454,17952,18438,18571,13027,13869,17083,19914,16755,17942,93500,11415,5453
144.06470@1.634,9469,20791,11058,9448,4880,8329,10166,18956,7144,0,152,0
145.04900@1.045,133331,266372,85654,101832,94528,207480,140916,310084,221113,3107,7811,2408
145.04910@0.857,140827,176461,136332,93552,160015,158130,226975,125877,179669,5598,3739,3130
145.04910@1.240,152791,156661,163658,121950,138775,196167,171909,138394,221448,6336,4848,3401
145.04910@0.689,132638,148827,146960,161310,180962,180901,166175,160633,172439,4500,8783,2174
146.05940@2.370,7829,8588,8884,9097,9755,9082,11719,9651,11264,0,0,0
146.08050@1.129,38520,30929,13274,25999,24630,49853,33063,33708,43098,1022,535,172
146.08060@0.604,348801,385984,410654,240287,330378,236650,142485,128277,405252,2412,1926,563
147.04340@3.408,8852,15470,9923,13340,14634,14168,15351,15555,16413,0,0,0
147.04340@3.552,9263,8378,9176,15859,16923,17664,12871,12612,11982,0,0,0
147.04350@3.886,8827,8624,8913,8103,9109,9218,8647,8451,9917,0,0,0
147.07610@0.581,346526,373314,390779,255399,311572,304316,334641,332104,370982,609,341,0
147.14880@0.590,4405,5525,5650,3870,4459,4778,4823,4968,5309,9639,0,0
148.06000@0.599,64294,34456,74207,61570,77075,71994,30244,29288,80778,2595,0,0
148.09640@0.584,2867,3093,3351,94,1870,1435,263,2201,1554,7031,0,0
149.02240@6.740,1649,1972,2147,1274,1342,1919,1870,2321,2542,1439,1792,763
149.02250@8.494,7250,7855,8241,7295,7113,7173,8594,8531,8198,5642,3189,1355
149.02260@10.578,7374,6562,6918,2872,2569,2941,5137,5498,5741,2317,1569,1171
149.11780@5.409,3213,3189,2798,0,0,0,1557,1469,1612,0,0,0
150.04910@2.412,7322,8216,9028,8146,7864,7564,8819,8493,8637,0,0,0
150.05790@0.682,228249,237869,252256,271621,292945,288638,274643,254982,283587,0,0,0
150.07690@1.068,37755,37625,38948,30842,34047,32052,37711,37222,36380,0,0,0
151.03470@13.654,83729,81658,89767,96565,86472,85789,88941,80805,81772,97557,90936,80505
151.03470@9.610,25421,24011,23884,21902,24060,24897,23511,22748,24533,14937,8376,3933
151.03480@0.461,15871,17670,21655,15460,17002,19211,16039,18605,20259,9660,2494,1426
151.09610@1.679,12172,13515,16498,3737,3170,3426,7157,12586,13072,2800,3847,3903
152.05380@0.682,9560,11580,11414,12266,13249,13157,12686,10861,12656,0,0,0
152.05620@1.407,51656,55101,54335,64736,67057,63745,63329,61649,62219,0,0,0
152.05620@2.703,3627,4113,3984,4845,4647,5114,4491,4542,5147,0,0,0
152.05620@2.448,80552,80500,82975,102686,98980,110736,98611,93743,99650,395,0,0
153.03980@2.335,8324,8416,10522,8188,7770,9389,9521,9024,11626,1334,1930,1034
153.04010@2.774,12873,14694,12602,12606,12744,13105,15402,15169,12767,1180,1838,724
153.04030@2.611,8754,9053,8591,12053,11728,12192,10937,10978,11239,871,2538,459
153.05430@5.706,185,0,0,2734,2700,2550,1465,1216,1379,0,0,0
154.00430@13.664,13879,15774,14219,14514,13674,13518,14178,14142,13165,14919,13697,13058
154.13350@0.572,2249,2437,2816,880,1058,1135,1863,1834,2102,0,0,0
154.98980@13.699,63417,80794,63735,44009,57209,69295,67861,73690,77834,105921,170978,58666
155.04210@0.561,5990,6694,7432,3907,4774,4959,5748,5986,7557,0,84,108
155.05930@4.845,2749,2881,3086,1880,2028,1471,3001,2893,2426,6480,5089,3109
155.06980@3.889,7060,6978,7067,8153,8802,9046,7299,6966,7857,0,0,0
156.01370@0.452,20333,23466,25229,19098,21260,23127,22682,24382,25549,9548,3829,1349
156.07640@0.573,35602,38454,39603,26163,32039,33103,34968,34806,37988,492,0,0
156.96530@13.721,20388,6758,11659,9708,13118,17692,9811,11979,13227,7477,7728,6202
157.04910@0.672,9204,11102,11250,15800,20762,19793,13187,14581,16276,0,121,0
158.01190@0.493,3075,3331,3529,3404,3550,3305,3124,3342,3583,8592,10968,6869
158.08060@2.522,39853,53482,53538,98941,102667,103720,57659,74187,75287,0,0,0
158.11720@1.097,26025,14582,26764,14314,21528,13164,18166,16734,14919,0,0,0
158.15350@6.382,5771,7248,6604,7486,7430,8511,6300,5909,7751,14797,12568,6557
159.02410@13.653,4847,3250,4281,4226,4373,4424,4573,4571,4283,4133,2428,3793
159.06480@4.692,12298,13518,18223,5508,9166,11174,20327,19750,20108,196,4765,3619
159.06500@0.658,19186,20112,21254,22512,24312,24636,24032,21602,24931,0,0,0
159.06500@3.066,1672,2069,2516,2735,2515,3239,2391,2170,3245,0,285,278
160.09620@0.624,156413,174734,176255,50318,59509,58881,120498,111263,134164,937,0,0
160.10680@1.261,12764,18125,9888,12838,14346,6247,18576,18350,17126,0,0,0
161.05950@5.208,8599,10400,10865,9304,10494,10408,11754,10096,10893,14810,0,0
162.05510@3.694,1966,1720,1569,1877,1605,1498,1916,1842,1974,0,0,0
162.05760@4.691,1840,2060,3246,774,1157,2025,3181,2909,3151,108,1114,1597
162.07520@1.021,16295,14422,16403,10252,13687,9500,7683,16124,16923,0,0,0
162.07570@0.636,16205,15999,16812,14085,18373,15054,15074,13788,16574,0,0,0
163.03850@3.187,7573,8468,8277,13896,14825,13894,11821,11227,11335,0,0,0
163.05960@0.688,58554,64492,63777,70393,78794,77544,74121,65966,70905,1497,1551,1526
163.05970@1.008,31168,131802,61344,93541,48448,135720,95021,54537,106803,2235,2763,1750
163.11110@8.764,3831,4375,4323,4321,4364,4418,5109,4418,4845,4906,4821,3283
163.13240@4.229,10791,11503,14635,3235,4172,4222,11451,9781,10661,7178,8689,4942
163.99000@13.689,10586,11938,11483,11118,10521,11893,13066,11827,11515,20630,187256,11067
164.04620@3.467,3276,3491,3376,2978,2926,3245,3826,3696,3051,0,0,0
164.04640@2.950,2078,2447,1770,1876,2157,1501,2036,2161,2360,0,0,0
164.12750@0.567,6053,5102,6112,3627,4490,4662,4441,4459,5652,16625,0,0
165.05390@3.672,5282,6037,5962,3164,3555,3260,6034,5292,4652,0,0,0
165.05400@3.423,39256,41070,41527,35673,36846,36593,40678,39590,41035,0,0,0
165.05400@3.552,6452,6393,5996,10236,11249,11104,8645,8974,8246,0,0,0
165.05430@0.984,33678,36913,39528,27655,30996,30898,36259,34867,38049,0,0,0
166.05280@0.585,7156,7752,7329,3030,6954,6646,6662,6462,7711,0,0,0
166.07180@2.150,247040,248595,248713,253139,249278,243139,296448,275433,266083,0,0,0
166.08590@1.200,767098,787145,782654,895814,935741,927510,897720,870014,884605,4292,0,0
166.12220@2.418,5553,6226,5924,6684,7046,7458,6754,6676,6285,11733,0,0
166.16820@1.202,5096,5669,5792,7134,6440,6441,6474,6399,6789,0,0,0
167.01220@9.609,48801,49642,51920,47902,48553,47723,49162,55484,57590,46700,19458,11196
167.01230@9.390,56789,46953,42599,58185,44564,50996,63396,39917,46351,16690,12363,9233
167.01240@13.666,265022,267133,270610,264675,278217,268664,261350,337148,273291,298583,273612,283911
167.01260@10.195,30697,33172,29910,25456,30612,24527,29503,35456,32365,41219,11939,7409
168.06510@0.706,23763,28458,28135,25330,32766,28788,27395,26773,32070,92,0,138
168.13770@3.007,20051,20580,21683,40146,41417,40442,30905,29525,31748,0,0,0
169.03570@1.662,6702,3728,3897,9296,8742,8649,3558,7682,7529,0,148,0
169.04900@3.106,4210,4242,4419,4157,4000,4400,4866,4333,4231,0,0,0
169.08540@5.450,1691,2080,1551,1514,1510,1348,2020,1551,2060,3453,0,0
170.04660@4.693,7369,7377,9530,3038,4034,5828,10176,9885,10659,489,3944,5872
170.06470@2.410,3401,3360,4244,5985,6190,5715,5470,4691,5030,0,0,0
171.00530@13.666,5088,4956,5376,4632,4595,4738,5075,4801,4935,6477,5561,4679
171.01630@0.559,283578,314068,327122,293656,334543,330129,309496,313096,338013,0,0,0
171.02830@2.757,2954,2845,2989,2889,2847,3519,2938,2891,3278,0,0,0
171.14880@4.942,10831,12559,13371,17549,18141,17893,15846,14747,16700,19683,9431,5130
171.99130@0.452,8327,10412,10348,7539,7469,6791,8449,7759,9052,56746,12233,3702
171.99240@13.782,133105,107766,95034,63796,119312,154191,83058,83698,26336,98952,82561,132982
172.11470@9.772,22464,23422,23058,21243,26250,24091,22759,27085,23340,16823,22540,12852
172.11480@9.434,147470,132246,146932,179658,148393,148881,146605,150857,144595,154580,154594,123888
172.11490@10.117,23138,21458,23094,24349,24252,25069,34419,21769,26286,40991,29198,30402
172.11490@10.408,169786,171742,174628,122158,135614,171408,176539,139405,174919,192320,133107,177040
172.11490@11.412,34272,30224,47726,71554,114982,61614,72083,63541,121724,66633,13326,26036
172.11500@12.251,51497,47034,31815,35176,37054,30489,49850,51789,29906,20888,6987,38190
173.01480@0.560,24800,27328,28569,25726,31121,30565,27872,28207,31378,0,0,0
173.04440@0.677,22794,24784,24030,24154,25143,28716,28913,23999,29426,0,139,0
173.07840@1.692,11357,12530,14015,4960,2914,2800,12847,12131,12537,2604,7238,4936
173.15310@3.626,9835,9702,9414,6453,7113,6424,9190,8791,8555,0,0,0
174.99850@13.677,3150,4303,3190,3830,3739,3497,3300,4272,3950,6972,10651,2904
175.02310@0.863,7206,8925,9515,8724,5173,8191,8593,8130,10263,0,0,0
175.07530@4.674,5190,4753,4973,4985,5002,4848,6236,5410,5187,0,0,0
175.11840@0.567,112789,119678,130273,48971,57937,59868,91409,88529,96997,714,0,0
176.01010@0.901,54653,70252,59482,76657,44899,86037,73838,62064,101222,730,2565,661
176.09100@1.542,5968,6637,3799,4260,8848,7680,5696,7848,7873,0,0,0
176.57060@3.467,2720,2910,2746,2703,2890,2733,2813,2789,2400,0,0,0
177.03880@0.698,158369,164958,173843,216724,200841,396588,204778,185712,195536,0,0,0
177.03900@1.037,20089,30087,26588,44118,41369,32117,62834,29003,52193,0,0,0
177.05410@6.745,10659,11255,12056,8218,8297,8833,11590,11373,13745,11674,10714,5286
177.05410@3.730,21482,21420,21316,22367,24147,23516,24625,22750,23424,107,354,123
177.06100@0.648,20909,22862,22104,21566,24878,15751,19934,19028,21411,1774,1305,111
177.06140@3.642,4356,3969,7044,4754,4705,4541,3755,5883,3890,275,442,123
179.07020@5.326,7863,8169,7940,6072,6233,6083,7732,7725,8056,13441,0,0
180.08610@0.689,13109,7442,17929,20199,23538,25200,17909,19140,21723,119,109,97
180.10130@2.760,6311,6765,6458,6896,7635,7403,7542,7167,7262,0,0,0
180.98890@13.691,6492,7287,9117,9118,7333,6657,10368,8779,10162,16169,28603,6595
181.04860@3.187,5375,5935,5372,10347,9508,10220,8597,7483,7626,0,0,0
181.07160@3.376,2175,2460,2060,3716,2975,3134,3069,3662,3580,9915,1836,479
181.12170@3.943,5063,5049,5040,5464,5515,5767,6029,5698,5660,0,0,0
181.12170@10.030,16756,25857,26308,17024,20569,17457,17160,15555,27886,0,0,0
181.14420@2.623,20897,24421,22318,38913,40182,40216,30502,28812,30972,0,0,0
181.98750@13.674,7861,8845,7629,8020,8311,7358,9985,9130,7267,16015,14280,7549
182.08070@0.986,276415,299008,304681,228205,239000,244806,276890,268362,290207,3427,0,0
183.07750@4.695,21670,21395,21612,23960,25979,26257,26102,23752,23308,14669,19130,9169
184.00280@13.646,4474,4452,4773,3343,3909,3651,4321,4765,4177,3857,2695,3658
184.07300@0.581,13165,14217,14418,9428,11973,11287,12428,11211,14251,0,0,0
184.98490@9.610,16855,16944,19014,17184,16679,16518,18339,19610,20384,19473,8005,8079
184.98490@9.390,13003,12215,12330,11964,15063,12288,13069,13812,14257,2993,5405,2978
184.98500@11.392,18451,21910,19564,32126,25504,31135,28218,37940,45410,51917,16914,6434
184.98510@12.268,18187,15716,19591,20857,15157,33159,16013,16460,26000,42809,39496,7451
184.98520@13.671,72622,70868,62983,63560,79383,66559,83411,68740,76401,94443,79370,59204
184.98530@10.195,12680,13200,18278,11497,14603,11203,15330,12403,15924,22343,12968,3684
185.03190@0.557,97443,108851,116894,86892,99466,98795,97840,103425,111199,470,5831,3949
186.07560@1.617,13560,27370,28085,35536,29405,32119,19438,28106,32351,0,0,0
186.14820@2.788,25177,13749,26888,48908,57007,49891,37417,34333,36689,0,0,0
186.22110@6.184,3267,3275,3360,2996,2989,3494,3059,3267,3307,8474,3105,1604
186.95560@13.708,56013,70035,70732,52767,58468,64853,82831,77799,53778,64839,66436,63540
187.03030@0.561,8670,8664,9208,6666,8338,7668,7578,7541,8973,0,0,0
187.07480@4.674,7288,6786,6739,7446,7044,7105,8238,8348,7457,0,0,0
187.10730@0.656,11096,12784,13509,6984,6984,8258,10584,9676,11273,415,0,0
188.03690@2.663,11590,12222,12080,13218,14102,15052,13986,13886,14592,0,0,0
188.05460@0.984,5955,12763,7565,12232,13724,13293,11890,11474,13510,0,0,0
188.07010@2.375,206333,215901,218142,232257,237443,235847,255178,239226,250582,100,0,0
188.09060@2.778,3136,3492,3171,3167,3256,3067,3742,3111,3230,0,0,0
189.11160@9.041,4588,4593,3970,4878,4817,4874,4279,4490,4208,6067,942,918
189.12290@1.138,25642,28636,25325,23815,24413,24056,25057,24586,25014,0,0,0
189.13400@0.573,63726,73867,77298,41929,47462,51112,59734,56009,66670,0,0,0
190.04930@3.692,107344,109812,106185,95952,101687,95439,118129,109521,111129,0,0,0
190.10740@0.639,340,1388,1296,582,1751,1343,1280,603,1229,6593,0,0
190.97910@13.695,12269,13830,11724,17037,16576,7998,6236,20404,16679,4420,4394,12005
191.05460@0.846,24377,26171,28241,19627,26355,26542,26083,25542,25761,0,0,0
191.05480@0.677,27206,28615,31380,27904,32336,32745,31476,29843,33195,0,0,0
191.08110@3.783,42705,44985,44582,33547,37038,35745,46023,43239,44944,119996,0,0
191.14230@4.535,3285,3289,3645,402,724,829,2645,2082,2518,0,0,0
191.16410@3.626,5384,5522,5464,4062,4049,4114,5382,4682,5298,781,0,0
192.06800@2.908,3955,3852,3589,5119,4625,5045,4664,4628,4382,133,0,0
192.13760@2.915,6704,6677,7900,6514,7662,7342,7218,6661,7532,13305,12574,6768
192.13760@6.114,1798,1599,1857,1081,1342,1340,1484,1642,1782,2467,2734,1094
192.97890@0.598,850,1436,876,497,897,754,919,1098,1016,304,9489,0
192.99810@0.538,3946,4784,4534,2877,3883,3726,4158,3841,4865,1736,0,0
193.04460@3.739,3167,3060,2991,2972,2867,2920,3219,3631,3220,6536,0,0
193.06770@2.411,46281,49959,47584,72118,75475,75591,61041,58645,60095,0,0,0
193.07010@0.672,65326,74754,76848,110773,131559,128750,102973,98433,111640,128,0,102
193.08500@4.025,3796,4365,4524,7558,8051,8625,6386,5633,6228,0,0,0
193.08530@4.422,7988,7602,8450,3695,4541,4102,7557,7491,6928,0,0,0
194.03210@0.550,11503,13705,15028,11620,15005,13880,13910,13804,15230,0,0,0
194.11640@7.001,4886,5508,7251,1082,354,661,4871,5313,6078,2678,8988,5046
194.11710@2.595,129254,148235,147430,126909,126875,124058,159338,141245,153373,259742,273325,171399
195.06430@3.403,6402,6526,6772,2746,2744,2918,5231,5500,5385,0,0,0
195.06460@3.727,44463,44463,46298,40785,44192,42162,48987,45222,49320,0,0,0
195.07570@3.260,31384,34732,35447,34672,32683,33649,37485,36554,35542,0,0,0
195.07590@3.645,52671,54291,52526,22183,23595,23187,43593,40461,47170,0,0,0
195.08580@0.671,72724,76295,74547,61904,72342,71020,74899,71194,80453,413,401,492
195.99310@13.691,16163,20324,13603,15304,12335,19254,16431,19992,20148,26704,23407,14198
196.09580@3.711,677,906,878,4027,3891,4255,1949,1874,2198,0,0,0
196.11090@8.565,6468,5646,5659,6585,5876,7308,6421,6027,5573,0,0,0
197.07990@5.102,1633,2227,1801,1783,1741,1614,2089,1677,2169,2870,0,0
197.08040@5.326,10435,11177,11414,9089,8534,8617,10837,10658,10874,17957,0,0
197.11620@4.720,7193,7486,8131,8371,8798,8156,8510,8196,7848,3590,0,0
197.11860@8.918,7440,7046,7492,8971,9468,7866,7833,7663,7228,0,0,0
198.03560@3.726,3448,4006,3567,3573,3026,3034,3792,3337,3148,0,0,0
198.09660@0.681,20971,22067,19508,28749,30484,27055,24926,22870,26391,2628,99,120
198.09660@1.070,42842,26482,9907,18932,29002,25184,34521,16115,12498,102,712,150
198.12310@0.572,28143,28907,32126,11766,13651,13172,21768,20216,22876,0,0,0
198.18390@6.345,1099,1302,1313,1039,1020,517,933,918,749,2724,2670,1143
200.04380@1.107,48158,45798,75137,72041,79209,79897,81916,68015,56114,0,0,0
200.08280@8.494,6785,6520,6961,6360,6567,6528,6958,6301,7159,3758,1678,1073
200.10660@5.972,5216,4936,4984,3739,4234,3640,4641,4755,4713,13793,0,0
200.13930@2.588,5043,4653,4383,6271,6149,7156,6585,6220,5816,0,0,0
200.16390@3.132,5078,5389,5234,10942,11136,11190,7396,7632,7514,0,0,0
200.16400@2.768,6544,6544,6657,12010,12551,12011,8646,8254,8982,130,0,0
201.01620@0.555,8736,8542,8967,10631,12741,12284,10673,10036,11635,336,0,159
201.11160@5.210,26137,29565,28640,29572,30720,27617,32848,29552,29143,28220,134,0
